CRN,Campus Description,Course Title,Subject Course,Faculty Name,Course Description,Term,Begin Time,End Time,Days,Prerequisites
34154,Online,Computer Science and Its Applications,CS1100,"Lieberherr, Karl",Introduces students to the field of computer science and the patterns of thinking that enable them to become intelligent users of software tools in a problem-solving setting. Examines several important software applications so that students may develop the skills necessary to use computers effectively in their own disciplines.,Spring 2025,,,,[]
32828,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl",Accompanies CS 1100. Involves experiments and problem solving across multiple disciplines using computer science techniques and tools.,Spring 2025,0800,0905,Friday,[]
32829,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl",Accompanies CS 1100. Involves experiments and problem solving across multiple disciplines using computer science techniques and tools.,Spring 2025,0915,1020,Friday,[]
32830,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl",Accompanies CS 1100. Involves experiments and problem solving across multiple disciplines using computer science techniques and tools.,Spring 2025,1030,1135,Friday,[]
34155,Online,First Year Seminar,CS1200,"Wassinger, Claire","Seeks to support students in their transition to Northeastern and in their holistic development as they become responsible members of the college and university communities. Incorporates large group discussion, small group activities, and self-reflection in order to facilitate connections with faculty, staff, and peers; promote utilization of appropriate campus resources; and assist with academic and personal goal setting.",Spring 2025,,,,[]
34157,Online,Professional Development for Khoury Co-op,CS1210,"Bishnoi, Priyanka","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
35407,Online,Professional Development for Khoury Co-op,CS1210,"Albanese, David","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1450,1555,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
30307,Boston,Discrete Structures,CS1800,"Hamlin, Ariel","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Discusses principles of proof such as truth tables, inductive proof, and basic logic. Also covers the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms.",Spring 2025,0950,1130,"Tuesday, Friday",[]
34586,Boston,Discrete Structures,CS1800,"Hamlin, Ariel","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Discusses principles of proof such as truth tables, inductive proof, and basic logic. Also covers the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms.",Spring 2025,1335,1515,"Tuesday, Friday",[]
40823,Online,Discrete Structures,CS1800,"Aloupis, Gregory","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Discusses principles of proof such as truth tables, inductive proof, and basic logic. Also covers the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms.",Spring 2025,,,,[]
32215,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita","Accompanies CS 1800. Illustrates topics from the lecture course through discussions, quizzes, and homework assignments.",Spring 2025,0915,1020,Wednesday,[]
35868,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita","Accompanies CS 1800. Illustrates topics from the lecture course through discussions, quizzes, and homework assignments.",Spring 2025,1030,1135,Wednesday,[]
37024,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita","Accompanies CS 1800. Illustrates topics from the lecture course through discussions, quizzes, and homework assignments.",Spring 2025,0915,1020,Thursday,[]
39788,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita","Accompanies CS 1800. Illustrates topics from the lecture course through discussions, quizzes, and homework assignments.",Spring 2025,1030,1135,Thursday,[]
40824,Online,Seminar for CS 1800,CS1802,"Aloupis, Gregory","Accompanies CS 1800. Illustrates topics from the lecture course through discussions, quizzes, and homework assignments.",Spring 2025,1525,1630,Tuesday,[]
30306,Online,Professional Development for Khoury Co-op,CS1210,"Schwab, Garrett","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1030,1135,Monday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
