CRN,Course Name,Instructor,Subject,Course Number,Question,Review
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,Timing and Canvas are Organized.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,very responsive professor
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,"Passionate, knowledgeable, extremely accommodating."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,"Scott was a pleasure to have as a professor! I can tell that he really enjoys what he is teaching us, and that enthusiasm is contagious. He is very approachable and flexible, and makes it abundantly clear that"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,"Assignments (homework, labs), and live lectures were very helpful and interesting."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,He is enthusiastic about the material which helps to make it more interesting.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,"Very responsive to student questions and very, very nice attitude"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,Very responsible and passionate about teaching. I think he offered us great help and some mental support
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,We can understand the points deeply through several kinds of teaching approaches.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What were the strengths of this course and/or this instructor?,"The strengths of this course include lots of contents and interactive lessons, while the instructor excelled in clear communication, fostering an engaging learning environment."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,"Modify the presentation assignment. A bit too open ended which led to topics that were really big and not digestible in a presentation. More importantly, they took up too much class time."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,"Despite his infectious enthusiasm and the clarity with which he delivers his lectures, the 3 hour long form lecture is tough. If these lectures were delivered as twice weekly 90 minute sessions it would be"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,"The lectures were good, I didn't feel overly compelled by most of the online videos and I felt like I learned more from the live lectures, the homework assignments, and the supplementary reading. One of the"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,The instructional design misses the mark for me and my learning style. This feedback is based on what works/could work for me. Take with a grain of salt. The class time is largely lecture with out any
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,None
